# Important messages for new_human_and_model
# Format: YYYY-MM-DD HH:MM | <@user_id> | slack_permalink | category | summary
2026-02-21 14:34 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771713251804859 | pivot | Hey <@U0AGAKQ1V54>, is the team officially deciding to switch back to SQLite, or is this still just being considered? Want to make sure the ground truth stays accurate before logging any changes.
2026-02-21 14:34 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771713275861409 | pivot | Switched back to SQLite; **alexwang0317** (<@U0AGAKQ1V54>) remains responsible for database & infrastructure.
2026-02-21 14:47 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714046927879 | pivot | Hey <@U0AGAKQ1V54>, can you share more about what's prompting this? Is there a specific blocker or concern driving the rethink, or is this more of a general feeling?
2026-02-21 14:51 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714309109469 | pivot | alexwang0317 just said they're switching to MongoDB, but the team's most recent logged decision (2026-02-21) is to use SQLite. This contradicts the current ground truth — confirm with the team before making this change.
2026-02-21 14:52 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714330572509 | decision | <@U0AGAKQ1V54> just said switching to MongoDB, but the current ground truth says the team switched back to SQLite. This contradicts the most recent recorded database decision. Can you confirm if this is a new team decision?
2026-02-21 14:53 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714399205249 | decision | <@U0AGAKQ1V54> says the team decided to switch to MongoDB, but the ground truth shows the last logged decision (2026-02-21) was to switch back to SQLite. This contradicts the current recorded database choice. Was this decision formally approved by the team?
2026-02-21 14:55 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714505528589 | decision | Switch to MongoDB; **alexwang0317** (<@U0AGAKQ1V54>) remains responsible for database & infrastructure. (approved by <@U0AGAKQ1V54>)
2026-02-21 15:02 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771714919528709 | decision | Switch to SQLite; **alexwang0317** (<@U0AGAKQ1V54>) remains responsible for database & infrastructure. (approved by <@U0AGAKQ1V54>)
2026-02-21 15:10 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771715429874269 | milestone | What about the dashboard? Are you asking for a status update, assigning work, or something else?
2026-02-21 15:39 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771717173698389 | milestone | What about the dashboard? Are you asking for a status update, requesting help building it, or announcing a decision related to it?
2026-02-21 15:40 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771717169216119 | milestone | What about the dashboard? Are you asking for a status update, requesting help building it, or something else?
2026-02-21 15:44 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771717494586219 | pivot | <@U0AGAKQ1V54> says they personally plan to use MongoDB, but the current recorded decision is SQLite. This is an individual choice that conflicts with the team's agreed-upon database — worth checking in with the team before proceeding.
2026-02-21 15:48 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771717688842719 | decision | <@U0AGAKQ1V54> says they're personally switching to MongoDB, but the current ground truth records SQLite as the team's database choice. This sounds like an individual action, not a team decision.
2026-02-21 16:04 | <@U0AGAN34DD4> | https://slack.com/archives/C0AGGBJGCJY/p1771718623071779 | decision | Erik (<@U0AGAN34DD4>) — Role: Frontend, building and designing web interface.
2026-02-21 17:04 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771722249849619 | pivot | <@U0AGAKQ1V54> says they'll use MongoDB personally, but the team's last recorded decision was to use SQLite. This is an individual choice that conflicts with the agreed-upon ground truth — worth a quick team check-in.
2026-02-21 17:39 | <@U0AGAKQ1V54> | https://slack.com/archives/C0AGGBJGCJY/p1771724387643789 | decision | Team has decided to use Tailwind and CSS for the project's frontend styling.
